,deu,nds
2153,Wir brauchen Geld.,Wi bruukt Geld.
6258,Da sind ein paar Äpfel im Korb.,Dor sünd en paar Appels in ’n Korv.
10541,"Ich habe überhaupt keine Lust, zu studieren.",Ik heff gorkeen Lust to studeren.
6370,Ich suche ein Geschenk für meine Frau.,Ik söök en Geschenk för mien Fro.
36215,Einige wenige Aufnahmen erschienen auf zwei Alben bei Impulse!,Eenig wenig Op keemen op twee Alben bi Impulse!
3793,Riesenpandas leben nur in China.,Grote Pandas leevt man bloot in China.
18278,"Im Januar 2013 kündigte Timberlake an, wieder Musik zu machen.","In' Januar 2013 hett Timberlake ankünnigt, dat he weer Musik maken will."
1824,Er hat eine Abneigung gegenüber Juden.,He harr wat gegen Joden.
2768,Lass es geschlossen.,Laat dat dicht.
2051,Mozarts Leben war sehr kurz.,Mozart sien Leven weer temlich kort.
39577,Diese hat 23 Register und 1694 Pfeifen.,Se hett 23 Registers un 1650 Piepen.
12993,Alle Schüler sind anwesend.,All Schölers sünd dar.
30199,Der Sud ist stark tanninhaltig und schmeckt bitter.,De Sud is stark tanninhollen un smeckt bitter.
13197,Im Winter springen uns die Lippen auf.,In ’n Winter barst uns Lippen.
9050,"Es gibt viele Sterne, die größer als unsere Sonne sind.","Dat gifft veel Steerns, de grötter sünd as uns Sünn."
12021,Lass uns den Weihnachtsbaum dort hinstellen.,Laat uns den Wiehnachtsboom dar henstellen.
13121,Ich habe einen Freund am Flughafen getroffen.,Ik heff en Fründ an ’n Flegerhaven drapen.
22050,An der Seite von Andreas Maurer schied er im April 1979 in Monte Carlo erst im Halbfinale aus.,An de Siet vun Andreas Maurer is he in’ April 1979 in Monte Carlo eerst in dat Halffinale utscheeden.
10262,Die Studenten lernten dieses Gedicht auswendig.,De Studenten hebbt dit Gedicht butenkopps lehrt.
46004,Dienstleistungsunternehmen haben einen Anteil von rund 40 Prozent an der Bruttowertschöpfung.,Deenstleistungsünnernehmen hebbt en Andeel vun rund 40 Perzent an de Bruttowertschöpfung.
13320,Der Mann trägt Kontaktlinsen.,De Mann driggt Kuntaktlinsen.
13918,Sollen wir joggen?,Wüllt wi joggen?
999,Ich komme aus Saitama.,Ik kaam ut Saitama.
14366,Kann ich etwas zu Essen bekommen?,Kann ik wat to eten kriegen?
15289,"Als das große Erdbeben war, war ich erst zehn Jahre alt.","As dat groot Eerdbeven weer, weer ik man teihn Jahr."
3547,Halt die Schnauze!,Holl de Snuut!
18775,"Doch das Mädchen möchte nicht ohne Charlie, ihren Retter leben.","Aber dat Deern will nich ahn Charlie, ehr Redder, leven."
9228,"Guten Tag, mein Name ist José Silva. Wie ist ihr Name?","Moin, Mien Naam is José Silva. Wat is dien Naam?"
7450,Wer hat mir meinen Korb mit Fleisch gestohlen?,’Keen hett mi mien Korv mit Fleesch stahlen?
8398,"Als ich zurückkam, war mein Auto verschwunden.","As ik trüggkeem, weer mien Auto weg."
16,Das war mein Satz!,Dat weer mien Satz!
45701,In den Jahren 1954 bis 1976 betrieb er als selbstständiger Unternehmer ein Einzelhandelsgeschäft mit angeschlossenem Handwerksbetrieb.,In de Johren 1954 bet 1976 harr he as sülvstännigen Ünnernehmer en Einzelhannelsgeschäft mit anslaten Handwarksbedriev.
1614,"Da sie regelmäßig zum Zahnarzt geht, bekommt sie so gut wie nie Zahnschmerzen.",Se geiht ümmer na ’n Tähndokter un kriggt darüm ok meist keen Tähnwehdaag.
31491,Nebenher war er ab 1949 freier Mitarbeiter der Westdeutschen Rundschau in Wuppertal.,Nebenher weer he af 1949 free Mitarbeiter bi de Westdüütsche Rundschau in Wupperdaal.
21063,Gegen die drei Ersten erzielte der 67-jährige Lasker zwei Punkte.,Gegend de dree Eersten hett de 67-johrig Lasker twee Punkte haalt.
11266,Er hat sich ein neues Haus gebaut.,He hett sik en nich Huus boot.
2496,Das Telefon wurde 1876 von Bell erfunden.,Dat Telefoon hett Bell 1876 utfunnen.
33187,Erst Justus Roth brachte 1861 den Namen wieder in die Gesteinsnomenklatur ein.,Eerst Justus Roth hett den Naam 1861 wedder in de Nomenklatur vun de Stenen inbröcht.
3045,Wir sind viel gelaufen.,Wi hebbt veel lopen.
987,Er stand auf.,He stünn op.
17116,Ich will das Pferd nicht.,Ik will dat Peerd nich.
13420,Sie bekommen keinen Cent.,Se kriegen keen Cent.
43492,Die Handballdamen des BVB spielen zur Saison 2008/09 wieder in der Bundesliga.,De Handballfruen vun den BVB spelen to de Saison 2008/09 weer in de Bundsliga.
11387,Ich habe daran den ganzen Tag gedacht.,Ik heff dar den ganzen Dag an dacht.
18778,"Im Dezember 1967 beauftragte Kubrick schließlich Alex North, eine Originalmusik für den Film zu komponieren.","In’n Dezember 1967 hett Kubrk denn Alex North beopdraagt, en Originalmusik to den Film to komponeeren."
6254,"Bitte grüß sie von mir, wenn du sie auf der Party siehst!","Grött ehr man, wenn du ehr bi de Party süst."
4482,Das Buch ist klein.,Dat Book is lütt.
26868,1992 bestritt er seine ersten internationalen Rennen bei den Junioren-Weltmeisterschaften.,1992 hett he sien eerste internatschonalen Rennen bi de Junioren-Weltmeesterschapen bestreeden.
3291,Katzen fangen Mäuse.,Katten fangt Müüs.
10464,Sie war schick angezogen.,Se weer goot antagen.
6729,Sie zogen ihr Boot auf den Strand.,Se tögen jemehr Boot op ’n Strand.
45114,Erika sei nach dem Streit im Haus verschwunden.,Eva is na de Party aver nich na Huus kamen.
21632,"Hierzu traf sich die beste Berliner Gesellschaft (Adelige, Finanziers, Industrielle) in der Villa.","Dorto hett sück de best Berliner Sellschop (Adelige, Finanziers, Industrielle) in de Villa drapen."
6387,"Du sprichst Russisch, oder?","Du snackst Russ’sch, oder?"
2158,Ich mag diese Art Romane nicht.,Ik mag düsse Soort Romaans nich.
5653,Warst du schon mal in dieser Wirtschaft?,Büst du al mal in dissen Kroog wesen?
26289,"Die letzte Szene am Ende des Films, als das verwüstete Raccoon City gezeigt wird, wurde in Toronto gedreht.","De letzte Szeen an’t Enn vun’n Film, as dat verwööste Raccoon City wiest warrt, is in Toronto dreiht worrn."
813,Wir sprechen alle Englisch.,Wi snackt all Engelsch.
20219,"Rosewall war gerade 18 Jahre alt, als er die australischen und französischen Meisterschaften gewann.","Rosewall weer man jüst 18 Jahr oolt, as he de austraalsch un fransch Meesterschapen wunnern."
15357,Sie mussten wieder von vorne anfangen.,Se möten noch wedder vun vörn anfangen.
22403,"Der zweite Teil seiner History of Civilization in England wurde 1861 fertiggestellt, doch scheint sich Buckle bei dieser Arbeit gesundheitlich übernommen zu haben.","De tweet Deel vun sien History of Civilization in England wurr 1861 fartigstellt, aver Buckle hett sück bi düsse Arbeit wahrschienlich gesundheitlich övernommen."
4950,"Es gibt etwas, das ich nicht verstehe.","Dat gifft wat, wat ik nich verstah."
26442,1971: Die Sowjetunion startet mit der Saljut 1 die erste Raumstation.,1971: De Sowjetunion schkt mit Saljut 1 de eerste Ruumstation in’n Ümloop.
44107,1957 fand hier die erste Beisetzung statt.,1957 is dar de eerste Persoon begraven worrn.
44987,Nach einem Engagement bei Artie Shaw war er 1954 und 1955 Mitglied von Norvos Quintett.,Nah en Engagement bi Artie Shaw weer he 1954 un 1955 Liddmaat vun Norvo sien Quintett.
34927,Das deutsche Haus von Sachsen-Coburg-Gotha wurde nach dem Schloss nun in Haus Windsor umbenannt.,Dat düütsch Huus vun Sachsen-Coburg-Gotha wurr nah dat Slott nu in Huus Windsor umnömmt.
30162,"Ein Jahr später übernahm er für zwei Jahre die Leitung der Führergehilfenausbildung, der ehemaligen Kriegsakademie, beim Wehrkreiskommando VI, ebenfalls in Münster.","En Jahr later övernehm he för twee Jahr de Leitung vun de Führergehilfenutbildung, vun de ehmalge Kriegsakademie, bi dat Wehrkreiskommando VI, ebenfalls in Mönster."
352,Ein Tiger ist größer und stärker als eine Katze.,En Tiger is grötter un stärker as en Katt.
31633,"Das erste Bild des Künstlers, das Leo Stein kaufte, Junges Mädchen mit dem Blumenkorb, gefiel seiner Schwester nicht.","Dat eerste Bild vun den Künstler, dat Leo Steen köfft hett, Jung Deern mit Blömenkörv, gefull sien Süster aver nicht."
8977,"Ich weiß nicht, ob das stimmt.","Ik weet nich, wat dat stimmt."
14405,Die Fahrräder in Peking haben alle Nummernschilder.,De Fohrrääd in Peking hebbt all Nummernschiller.
20282,Dieser Effekt ist die eigentliche Ursache des atmosphärischen Treibhauseffektes und spielt eine wichtige Rolle in Bezug auf die globale Erwärmung.,Disse Effekt is de eegentliche Oorsaak vun den atmosphärischen Drievhuuseffekt un speelt en wichtige Rull in Betoog op de Globale Erwärmung.
13792,Ich suche nach deiner Schwester. Wo ist sie?,Ik söök na dien Süster. Woneem is de?
15508,Gestern habe ich ihn durch die Stadt gehen sehen.,Güstern heff ik em dör de Stadt gahn sehn.
38599,Doch sein zynischer Bruder Robert macht ihm einen Strich durch die Rechnung.,Doch sien zynisch Bröer Robert maakt em en Streek dör de Reken.
8532,Warum brauchst du eine neue Leiter?,Worüm bruukst du en nee’e Ledder?
41035,Seit 2006 ist er dort allerdings nicht mehr aktiv.,Siet 2006 speelt he aver nich mehr in Europa.
9686,Sie hat ihm für seine Hilfe gedankt.,Se deed em för sien Help danken.
13532,Mein Bruder nannte seine Katze Hanako.,Mien Broder hett siene Katt Hanako nöömt.
5500,"Er hat mehr Geld, als er ausgeben kann.",He hett mehr Geld as he utgeven kann.
15295,Du hättest ihn früher warnen sollen.,Du schusst em ehrder wohrschaut hebben.
32804,"1978 erhielt sie das Angebot von National Public Radio, eine wöchentliche Sendung zu moderieren.","1978 kreeg se dat Angebot vun National Public Radio, en weekendlich Sendung to modereeren."
45055,Der Song erreichte im Frühjahr 1975 die Spitze der Charts und verkaufte sich 1 Million Mal.,De Song recken in dat Fröhjahr 1975 de Tipp vun de Charts un wurr 1 Million Maal verköfft.
2930,Das ist Janes Tasche.,Dat is Jane ehr Tasch.
17547,"(Mein Gott, mein Gott, warum hast du mich verlassen?","(Mien Gott, mien Gott, worüm hest du mi verlaten)?”"
4772,Ich half ihm über die Straße.,Ik heff em över de Straat hulpen.
30234,Im Herbst 1886 malte Monet in der Bretagne und lernte dort seinen späteren Biografen Gustave Geffroy kennen.,In Harvst 1886 hett Monet in de Bretagne malt un hett dar sien lateren Biografen Gustave Geffroy kennenlehrt.
15990,Ich trinke kein Wasser.,Ik drink keen Water.
16284,Ich höre Stimmen.,Ik hör Stimmen.
3152,Er schluckte seinen Ärger hinunter und arbeitete weiter.,He deed sien Arger dalsluken un möök mit de Arbeit wieder.
20317,Die Niederelbebahn wird als Kursbuchstrecke 121 in den Fahrplantabellen geführt und ist seit 1964 als Hauptbahn klassifiziert.,De Nedderelvbahn warrt as Kursbookstreck 121 in de Fohrplaantabellen föhrt un is siet 1964 as Hauptbahn klassifizeert.
17320,Ich habe Tom bereits geschrieben.,Ik heff Tom al schrieven.
3406,Ich will mit dir schlafen.,Ik will mit di slapen.
28096,"Im April 1920 kehrte Ludwig aus seinem Schweizer Exil hierher zurück, wo er den größten Teil seines Lebensabends verbrachte.","In’n April 1920 kehr Ludwig ut sien Swiezer Exil hierher torüch, wo he den gröttsten vun sien Levenavend verbrocht hett."
15070,Um wen geht es?,’Keen geiht dat üm?
13073,Hast du das alles alleine gebaut?,Du hest dat allens alleen boot?
18598,"Einer seiner Schulfreunde war der Geiger Joe Venuti, mit dem er später häufig zusammen auftrat.","Een vun sien Schoolfrüenden weer de Geiger Joe Venuti, mit de he later faken tosommen optreden is."
7987,Sprichwörter sind voll Weisheit.,Seggwöör sünd vull Wiesheid.
39967,1940 besuchte er die Verwaltungsschule und beendete diese mit der großen Verwaltungsprüfung.,1940 weer he op de Verwaltungsschool un hett ehr mit de groot Verwaltungsprüfung afslaten.
29890,"Die Folge ist ein deutlicher Rückgang der Artenvielfalt, im Fall von Vögeln um bis zu 90 %.","De Foolt is en düütlich Rückgang vun de Aartenvölfalt, in den Fall vun Vagels üm bet to 90 %."
22893,Dr. Mason befindet sich in der Hand eines verbrecherischen Unternehmens.,Dr. Mason is in de Hannen vun en Verbreker-Ünnernehmen.
3573,Ist die Katze auf oder unter dem Stuhl?,Is de Katt op oder ünner ’n Stohl?
29169,"Schon nach der ersten Session beschloss Hawkins, nicht mit Hylton nach England zurückzukehren; ihn lockte Paris.","All nah de eerste Session hett Hawkins beslooten, nich mit Hylton nah England torüchtogahn, he woll lever nah Paris."
7653,Warum esst ihr kein Gemüse?,Worüm eet ji keen Grööntüüg?
31695,Dort wurde das Bild von der Malerin Marie Röhrs erworben.,Dor wurr dat Bild vun de Malerin Marie Röhrs köfft.
6496,Er hat sich umgebracht.,He hett sik ümbrocht.
14544,Sie beobachtet gerne Vögel.,Se mag geern Vagels kieken.
5978,"Es ist Zeit, dass du aufstehst!","Dat is Tied, dat du opkummst!"
19713,"Nordhaus wurde ausgezeichnet für die ""Integration des Klimawandels in die langfristige makroökonomische Analyse"".","Nordhaus wurr uttekent för de ""Integratschoon vun den Klimawannel in de langfristige makroökonomische Analyse""."
715,Ich vermisse sie so sehr.,Ik miss ehr so dull.
8767,Ich habe etwas mit den Nieren.,Ik heff dat mit de Neren.
35075,"Möglicherweise kommt er von suli, einem germanischen Wort für ein Haus, das aus einem Raum besteht, und wold, Grund mit Sträuchern.","Mögelkerwies kummt he vun suli, en germaansch Woort för en Huus, dat ut een Ruum besteiht, un wold, Grund mit Strüüker."
4850,Sie lehnte mein Angebot ab.,Se hett mien Anbott aflehnt.
22630,"Mit 10 Jahren gab er sein Debüt als Pianist, Komponist und Improvisator in Wien.","Mit 10 Jahr geev he sien Debüt as Pianist, Komponist un Improvisator in Wien."
1815,Meine Mutter ist eine sehr gute Köchin.,Miene Moder kaakt temlich goot.
25729,Von 1861 bis 1863 besuchte Röntgen die Technische Schule in Utrecht.,Van 1861 bet 1863 hett Röntgen de Technische School in Utrecht besöcht.
30753,Er gab ihm den Namen Hämoglobin.,He hett sik ok den Naam Hämoglobin utdacht.
16149,Tom hat recht.,Tom hett recht.
42355,Weitere Einflüsse kamen von James P. Johnson und Earl Hines.,Wiedere Inflooten keemen vun James P. Johnson un Earl Hines.
2600,Sie ist unsere Nachbarin.,Se is uns Naversch.
6525,Glaub mir einfach.,Glööv mi man.
33585,"1957 arbeitete er bei Cannonball Adderley, dann kurz bei Stan Getz und Dizzy Gillespie.","1957 hett he bi Cannonball Adderley arbeit, denn kort bi Stan Getz un Dizzy Gillespie."
5215,Ich habe nicht so viel Geld wie er.,Ik heff nich so veel Geld as he.
10370,Seine Krawatte passt gut zu seinem Anzug.,Sien Slips passt goot to sien Antog.
16166,Jack spricht Englisch.,Jack snackt Engelsch.
4659,Also er ist knapp dem Tod entronnen.,He is man knapp ’n Dood utknepen.
13492,Es war zappenduster.,Dat weer stkendüüster.
3346,Ich habe noch nicht gegessen.,Ik heff noch nich eten.
2018,"Es ist schwer, mit ihm auszukommen.",Dat is swaar mit em uttokamen.
22929,"Jamaika liegt am Nordrand der Karibischen Platte, die sich direkt vor der Küste unter die Nordamerikanische Platte schiebt.","Jamaika liggt an de Noordkant vun de Karibische Plate, de sik direktemang vör de Küst ünner de Noordamerikaansche Plate schuven deit."
11464,Das Küken will immer klüger sein als das Huhn.,Dat Küken will ümmer kläuker sien as dat Hohn.
25826,"Zuvor war ein Versuch, Balthasar trotz versprochenen Geleits zum Gefangenen zu machen, fehlgeschlagen.","Tovör weer en Versöök, Balthasar trotz verspraaken Geleit to’n Gefangenen to maken, scheitert."
7988,Er kauft Kleidung.,He köfft Kledaasch.
8508,"Tatoeba: Sätze, Sätze und noch mehr Sätze.","Tatoeba: Sätz, Sätz un noch mehr Sätz."
15436,Hast du das Buch von Haruki Murakami gelesen?,Hest du dat Book vun Haruki Murakami leest?
34911,"Der achte Mond, Hyperion, wurde 1848 etwa gleichzeitig von Bond und Lassell gefunden.","De acht Maand, Hyperion, is 1848 ungefähr to glieken Tiet vun Bond un Lassell opdeckt."
25434,Der leitende Staatsanwalt Benjamin Ferencz eröffnete die Hauptverhandlung mit der Präsentation der Anklage.,De leitend Staatsanwalt Benjamin Ferencz hett de Hööftverhandlung mit de Präsentatschoon vun de Anklaag anfungen.
6800,"Es reicht nicht, nur eine Sprache zu können.","Dat reckt nich, man een Spraak to könen."
18526,Mit der Krone des Martyriums wirst du zu mir zurückkehren“.,Mit de Kroon vun dat Martyrium schaßt du to mi torüchkamen“.
132,Du bist mein Typ.,Du büst mien Typ.
2213,Sie wohnt alleine in dem Zimmer.,Se wahnt alleen in de Kamer.
1563,Warum hältst du meine Hände?,Worüm höllst du mien Hannen?
3875,Du musst geduldig sein.,Du musst gedüllig wesen.
15068,Ich mag Äpfel gerne.,Ik mag geern Appels.
12671,Was machst du heute?,Wat maakst du vondaag?
11035,Die Statue wurde in Frankreich gefertigt.,De Statue is in Frankriek boot worrn.
19151,"Bald aber stellte sich für Steinitz heraus, dass mit dem Schachspielen in Wiener Kaffeehäusern weit mehr Geld zu verdienen war.","Bald aver stell sück för Steinitz herut, dat mit Schachspelen in Wiener Koffiehüüs bedüüdend mehr Geld to verdeenen weer."
28555,"Uganda selbst unterstützte im Gegenzug die im Sudan operierende Sudanesische Volksbefreiungsarmee, die gegen die Regierung des Sudan kämpfte.","Uganda sülvst hett de Volksbefreeungsarmee vun’n Sudan ünnerstütt, de gegen de Regeren in’n Sudan arbeidt."
34234,"Von 1952 bis 1958 war er Rettungsfallschirmer und Bergretter bei der Schweizerischen Rettungsflugwacht, ausgebildet bei der Royal Air Force.","Van 1952 bet 1958 weer he Rettungsfallschermer un Bargredder bi de Swiezer Reddenswacht, utbildt bi de Royal Air Force."
15349,"Meine Schwester ist drei Jahre jünger als ich, und mein Bruder ist vier Jahre jünger.",Mien Süster is dree Jahr jünger as ik un mien Broder veer Jahr jünger.
40427,1890: Die Insel Helgoland wird von den Briten in deutsche Verwaltung übergeben.,1890: De Insel Helgoland warrt vun Grootbritannien an Düütsland övergeven.
12518,"Gott sorgt dafür, dass die Bäume nicht in den Himmel wachsen.","Godd stüürt de Bööm, dat se nich in ’n Heven wasst."
14103,Was soll ich dann morgen tun?,Wat schall ik denn morgen doon?
2773,"Wenn der Frühling kommt, werden die Tage jeden Tag länger.","Wenn dat Vörjahr kummt, warrt de Daag elk Dag länger."
9623,"Sie sagte, dass sie in Osaka lebt.","Se seed, dat se in Osaka leevt."
12842,Er hat englische Geschichte studiert.,He hett engelsche Geschicht studeert.
10044,Stehe auf.,Kaam op.
12091,"Stimmt es, dass Erdferkel Ameisen fressen?","Stimmt dat, dat Eerdfarken Miegremen freet?"
17087,Tom und Maria hatten drei Kinder.,Tom un Ria harrn dree Kinner.
21022,1957 erhielt Borman einen Master in Luft- und Raumfahrt.,1957 kreeg Borman en Master in Luft- un Ruumfohrt.
44522,"Die Krankheit wurde nun übermächtig, und er musste das Schachspielen aufgeben.",Aber sien Krankheet wurr ümmer slimmer un he muss dat Schachspelen opgeven.
12328,Ich habe ein deutsches Auto.,Ik heff en düütsch Auto.
27664,"Zudem organisierte er selbst Turniere, zum Beispiel in Ostende 1906, und förderte junge Talente.","He hett ok sülvst Turniere organiseert, to’n Bispeel in Ostende 1906, un jung Talente fördert."
8290,Warum brauchst du Tatoeba?,Worüm bruukst du Tatoeba?
2878,Ich brauche eine Karte.,Ik bruuk en Kaart.
28901,Männer haben Hunger.,Mannslüde hefft Hunger.
45434,Sie hatte zwei Töchter und war die Lebensgefährtin des früheren Fußballnationalspielers Max Lorenz.,Se harr twee Döchter un weer mit den fröheren Footballbatschonalspeler Max Lorenz verheiraadt.
4635,Der Fluss ist ausgetrocknet.,De Stroom is opdröögt.
1202,Du blutest an der Nase.,Du blöddst an ’e Nees.
32116,"Seit 1990 erhielt Hoppe zahlreiche Stipendien, seit 1996 lebt sie als Schriftstellerin in Berlin.","Siet 1990 kreeg se tallriek Stipendien, siet 1996 leevt se as Schrieverin in Berlin."
1183,Wer ist er?,’Keen is he?
1246,Das Mädchen hat Angst vor Hunden.,De Deern weer bang vör Hunnen.
4896,"Ich war neugierig, warum mich die Menschen anstarrten.","Ik weer neeschierig, worüm as de Lüüd mi anglupen deden."
44469,Zurzeit leben sie in München.,Nu leevt se in München.
12807,Sie war wütend. Darum schwieg sie.,Se weer böös. Dorüm hett se swegen.
10300,Er ist auf der Toilette.,He is op ’t Partermang.
19354,Das Team blieb in dieser Zeit 50 Mal ohne Gegentor.,Dat Team bleev in düsse Tiet 50 Maal ahn Gegendoor.
27607,"Nandus sind zwar nicht so schnelle Läufer wie die afrikanischen Strauße, können aber beachtliche Geschwindigkeiten von bis zu 60 km/h erreichen.","Nandus loopt nich so gau as de afrikaanschen Strußen, köönt aver op 60 km/h kamen."
5140,Sie spricht russisch.,Se snackt russ’sch.
13377,Bringe ihn herein.,Bring em rin.
17638,"In den ersten Stunden ihres Lebens laufen sie demjenigen nach, den sie zuerst erblicken.","In de eersten Stunnen vun ehr Leven loopt se den achterher, den se toeerst sehn doot."
24337,Sie gilt mit einem Verlust von 28 Divisionen der Wehrmacht als verlustreichste Niederlage in der deutschen Militärgeschichte.,Se gellt mit en Verlust vun 28 Divisionen vun de Wehrmacht as de verlustriekste Nedderlaag in de düütsch Militärgeschichte.
5259,Ich habe nur ein Stück Brot gegessen.,Ik heff man een Stück Broot eten.
22605,1973 trat er mit Terry Gibbs auf dem Concord-Festival auf.,1973 is he mit Terry Gibbs op dat Concord-Festival optreden.
24360,"Sein Vater, Auguste Manet, war Richter und arbeitete als Leiter der Personalabteilung im Justizministerium.","Sien Vadder, Auguste Manet, weer Richter un weer Baas vun de Personalafdeelen in dat Justizministerium."
26981,"Feilzer begann seine Profikarriere 1977 beim FC St. Pauli, wo er zwei Jahre lang spielte.","Feilzers Profikarriere fung 1977 bi den FC St. Pauli an, wo he twee Jahr lang speelt hett."
26255,"Zusammen mit Pierre Béghin versuchte er, die Südwand der Annapurna im Alpinstil zu besteigen.","Tosommen mit Pierre Béghin hett he versöcht, de Süüdwand vun de Annapurna in’ Alpinstil to bestiegen."
2881,"Er ging nach Amerika, um Medizin zu studieren.","He güng na Amerika, üm Dokteree to studeren."
35198,Nach seiner Rückkehr nach Berkeley promovierte er 1952 über die Geschichte der Lebensversicherungen in den Vereinigten Staaten.,Nah sien Rückkehr nah Berkeley hett he 1952 sien Doktertitel över de Geschicht vun de Levensversekerungen in de USA maakt.
13575,Er hat mir sein neues Auto gezeigt.,He hett mi sien nich Auto wiest.
31377,Er gab während seiner Zeit als Professor in Chicago das renommierte Journal of Law and Economics heraus.,Wiels sien Tiet as Professer in Chicago hett he dat renommeert Journal of Law and Economics herutgeven.
17180,Das alte Buch war schimmelig.,Dat ole Book wöör schimmelig.
18021,Helen Wills ist gerade einmal 20 Jahre alt.,Helen Wills is man jüst 20 Jahr oolt.
7979,Gehe zwei Schritte vor.,Gah twee Schreed vör.
4454,"Es scheint, als ob er die Wahrheit wüsste.","Lett, as wenn he de Wohrheid weet."
4952,Er fehlt mir.,He fehlt mi.
6979,Es schneit seit zwei Tagen.,Dat sneet al twee Daag.
8895,Das Rauchen verbiete ich Ihnen!,Dat Smöken verbeed ik di!
7202,Beginnen wir bei der vorletzten Zeile!,Fangt wi mit de vörletzte Reeg an!
9367,Ich schaue auf das Haus.,Ik kiek op dat Huus.
7855,Wer kümmert sich um eure Hunde?,’Keen kümmert sik üm joon Hunnen?
10042,Kann ich diese Apfelsine essen?,Dröff ik düsse Appelsien eten?
30863,"Pierre Caillebotte, der Urgroßvater des Künstlers, stammte aus dem Ort Ger in der Normandie.","Pierre Caillebotte, de Oorgrootvader vun den Künstler, stamm ut den Oort Ger in de Normandie."
3080,"Ich wurde in Osaka geboren, bin aber in Tokyo aufgewachsen.","Ik bün in Osaka baren, man in Tokyo opwussen."
38087,1928 ging er erneut nach Paris.,In'n Sommer 1928 weer he in Paris.
46180,Sein Mut und sein Widerstand verschafften ihm in der Bevölkerung großes Ansehen.,Sien Moot un sien Wedderstand hebbt em in de Bevölkerung groot Ansehn verschafft.
10391,Was ist dein liebstes Betriebssystem?,Wat is dien leevst Bedrievssysteem?
32198,"Als er 1909 den Antrag auf Aufnahme stellte, gab er als Beruf „Farmer“ an.","As he 1909 de Andrag op Op stellt hett, hett he as Berop „Farmer” angeben."
2763,Äpfel sind rot oder grün.,Apeels sünd root oder gröön.
11884,"Zwei Monate sind es nun schon, seit er nach Frankreich gezogen ist.","Twee Maand sünd dat nu al, dat he na Frankriek trocken is."
14425,Ich kann mit meinen Zahnschmerzen nicht schlafen.,Ik kunn mit mien Tähnpien nich slapen.
19400,Er startete seine Arbeit an dem Institut mit einer Reise nach Westafrika.,He hett sien Arbeit an dat Institut mit en Reis nah Westafrika anfungen.
43702,"1988 in Calgary, wo er bei der Eröffnungsfeier Fahnenträger der bundesdeutschen Mannschaft war, folgte noch einmal Silber mit der Staffel.","1988 in Calgary, wo he bi de Eröffnungsfier Fahnendräger vun de düütsch Mannschap weer, wunnern he mit de Staffel noch en Sülvermedaille."
36537,Der Ertrag ist reich und regelmäßig.,De Büüt is riek un regelmatig.
16257,"Wo ist das Buch, das ich gelesen habe?","Woneem is dat Book, dat ik lesen heff?"
7657,Der Wind war stark an dem Tag.,De Wind hett önnig weiht an den Dag.
15740,Ich mag Fisch gern.,Ik mag geern Fisch.
10186,Er lügt.,He lüggt.
21476,1989 wechselte er als Korrespondent für den Sender und die Neue Osnabrücker Zeitung nach Bonn.,1989 is he as Korrespondent för RSH un de Neue Osnabrücker Zeitung na Bonn wesselt.
10736,Da ist Tokio.,Dor is Tokyo.
38219,Velimirović gewann 1975 die Meisterschaft von Jugoslawien in Novi Sad und 1997 in Nikšić/Belgrad.,Velimirović wunnern 1975 de Meesterschap vun Jugoslawien in Novi Sad un 1997 in Nikšić.
14674,"Er hat vorgetäuscht, dass er ein Doktor ist.","He deed vörgeven, dat he en Dokter is."
1177,Meine Frau wollte ein Kind adoptieren.,Miene Fro woll en Kind annehmen.
18352,"Der Grund der Wanderungen ist nicht hinreichend geklärt, da die allermeisten Tiere den Winter nicht überleben können.","De Grund vun de Wanderungen ist nich nipp alldaags nau klärt, wiel de meist Deerten den Winter nich överleeven könen."
4902,Er ist nicht so intelligent wie sein älterer Bruder.,He is nich so plietsch as sien öllern Broder.
1211,Plötzlich ging der Feueralarm los.,Opmaal güng de Brandalarm los.
4153,Wir haben ein Kind adoptiert.,Wi hebbt en Kind annahmen.
14542,"Ich wollte nur sehen, ob du das wusstest.","Ik woll bloot sehn, wat du dat weetst."
14310,Gib das Geld meinem Sohn.,Geev dat Geld mien Söhn.
4900,Meine Hand ist in warmem Wasser.,Miene Hand is in warm Water.
11052,"Manche Leute mögen Baseball, andere Fußball.","Welk Lüüd möögt Baseball, anner Lüüd Football."
11598,Seid ihr auf Facebook?,Sünn ji op Facebook?
29912,Whittaker und seine Frau Cindy haben zwei Töchter.,Whittaker un sien Fro Cindy hebben twee Döchter.
3350,Er starb im Alter von 54 Jahren.,He is in ’t Öller vun 54 doodbleven.
17885,Dies konnte jedoch der Passant Oliver Sipple verhindern.,Dat kunn aver de Passant Oliver Sipple verhinnern.
6441,Ich mag Löffel.,Ik mag Löpels.
9003,"Oh, schau mal, ein dreiköpfiger Affe!","Hey, kiek, en dreeköppten Aap!"
4530,Es ist besser zu schweigen als einen Fehler zu machen.,"Dat is beter to swiegen, as en Fehler to maken."
25842,Bekannt ist er durch die Teilnahme an der Nimrod-Expedition (1907–1909).,Bekannt is he dör de Deelnahm an de Nimrod-Expeditschoon (1907-1909).
13057,Wir sind mit dem Bus zum Kongress gefahren.,Wi sünd mit ’n Bus na ’n Kongress föhrt.
15197,Er ist immer vorbereitet.,He is ümmer praat.
1105,Der Preis für Fleisch ist gefallen.,De Pries för Fleesch is fullen.
